Date,Comment_ID,Parent_ID,Content,Status,Reaction_Count,Reply_Count,Permalink,Post_URL
2026-06-06 13:03:50,1444898224349187_1692343888672372,,[deleted],deleted,1,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1692343888672372,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 13:05:33,1444898224349187_2003079541084672,,64 Đáp án B Dinh dưỡng.  Huynh Trâm Anh Thanh Hà Nguyễn #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=2003079541084672,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 13:17:26,1444898224349187_1009607771539980,,Đáp án B : Dinh dưỡng.  Smm: 56 Kim Tuyen Lê Hường  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,1108,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1009607771539980,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 13:30:15,1444898224349187_1920787631914175,,16 đáp án B  Bùi Thảo Thanh Huyền Hoàng   #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,2,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1920787631914175,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 13:30:53,1444898224349187_2212481916166453,,16 đáp án B  Hoàng NgọcÝ Minh Châu   #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,1,3,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=2212481916166453,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 13:31:15,1444898224349187_1527341948905700,,Đáp án B : Dinh dưỡng Smm: 65 Trần NgânQuynh Anh Nguyen #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1527341948905700,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 13:34:02,1444898224349187_1258439122845727,,đáp án B số may mắn 22 Văn Dương Duyệt Du Chỉ #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,272,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1258439122845727,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:33:50,1444898224349187_2473312523184694,,đáp án B số may mắn 79 Huy Huy Huy Nguyễn Hi Va selie༉ˊˎ丨༊ #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,1,1517,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=2473312523184694,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:43:50,1444898224349187_1767977800853242,,Đáp án đúng: B - 76 Hoa Bằng Lăng Ngô Hoàng Tuấn #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1767977800853242,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:44:12,1444898224349187_1323089503104305,,Đáp án B Số may mắn: 19  Thùy Linh Phượng Nguyễn Thị Hồng  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,2,1724,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1323089503104305,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:45:11,1444898224349187_2328358911303447,1444898224349187_1258439122845727,dinh dưỡng cho sức khoẻ #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1258439122845727&reply_comment_id=2328358911303447,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:45:32,1444898224349187_1540848041083705,1444898224349187_1258439122845727,ăn ngon #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1258439122845727&reply_comment_id=1540848041083705,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:45:58,1444898224349187_1527209439057055,1444898224349187_1323089503104305,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1323089503104305&reply_comment_id=1527209439057055,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:46:01,1444898224349187_1008356701650060,1444898224349187_1323089503104305,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1323089503104305&reply_comment_id=1008356701650060,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:46:03,1444898224349187_1685892302559442,1444898224349187_1323089503104305,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1323089503104305&reply_comment_id=1685892302559442,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:46:05,1444898224349187_856375103702230,1444898224349187_1323089503104305,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1323089503104305&reply_comment_id=856375103702230,https://www.facebook.com/408308732570405/posts/1444898224349187
