Date,Comment_ID,Author_ID,Author_Name,Content,Status,Reaction_Count,Reply_Count,Post_URL
2026-06-06 13:30:15,1444898224349187_1920787631914175,,,16 đáp án B  Bùi Thảo Thanh Huyền Hoàng   #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,2,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:43:50,1444898224349187_1767977800853242,,,Đáp án đúng: B - 76 Hoa Bằng Lăng Ngô Hoàng Tuấn #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 14:48:57,1444898224349187_1380553267461582,,,Đáp án B smm 30 Nguyễn Nguyễn Huyết Lục Triều #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,1,263,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 13:53:16,1444898224349187_1568776641487655,,,10 đáp án B Ley La Luan Pham Cùi Bấp  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 15:09:22,1444898224349187_1733053857687983,,,Đáp án B - 54 Khánh Huyền HÙNG MANC Lý Phong #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động  năm mới em chúc page phát triển rực rỡ và luôn được nhiều quý khách hàng trong nước và quốc tế luôn theo dõi và luôn ủng hộ cho page thật là nhiều nhé  Luôn có lượng fan cứng hùng hậu ủng hộ nhé chúc page luôn phát triển đơn nổ liên tục máy in đơn mệt nghỉ luôn . Love you😘🫶,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-10 10:11:50,1444898224349187_1023788203499068,,,[deleted],deleted,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 01:15:49,1444898224349187_992957393358558,,,"[TẶNG 3 MÓN QUÀ] Combo 4 Túi Nước giặt HygienC Plus (2600ml/Túi) công nghệ Thái Lan thơm ngát, làm sạch - (QUÀ: 1 Chai Lau Bếp 250ml + 1 Chai Nước Rửa Chén 400gr + 1 Chai Xịt Khô 100ml màu ngẫu nhiên) https://vt.tiktok.com/ZS927txp8RvuT-P5gQU/",active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-15 16:16:11,1444898224349187_3174328082771799,,,Đáp án B - 65 Anh Nguyen Thi Hoang Hùng Gold Mỹ Hạnh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động Luôn theo dõi và luôn ủng hộ cho page thật là nhiều nhé,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:32:02,1444898224349187_992599763518124,,,[deleted],deleted,1,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-06 13:03:50,1444898224349187_1692343888672372,,,[deleted],deleted,1,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 10:34:51,1444898224349187_2775609276141713,,,Đáp án đúng: B - 92 Mina Chimxinh Bin Pé Bin  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 02:51:18,1444898224349187_1568523978152068,,,Đáp án B : Dinh dưỡng.  Smm: 19  Hoàng Yến Hoàng Nhi Nè Tuyên Be   #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,8,238,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 07:34:53,1444898224349187_2425350247965211,,,Đáp án đúng: B - 12 Bùi Huy Thuy Nguyet Dang  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,1,2007,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:41:12,1444898224349187_1329146931880288,,,Đáp án B Số may mắn: 21 Nguyễn Đình Phong Băng Nhi Phượng  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,2,1703,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-13 04:05:33,1444898224349187_1762099404957440,,,Đáp án B - 09 Hoài Thương Hoang Phương Hoàng Phi Nguyễn #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,5509,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 16:00:48,1444898224349187_1726824192067152,,,Đáp án đúng: B - 58 Quỳnh MyMinh HiếuThu Cúc Cao #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 06:27:10,1444898224349187_1680405553008130,,,Đáp án B - 74 Nguyễn Mỹ Thu Hường Đt  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 04:42:27,1444898224349187_1657165788852116,,,Đáp án B - 34 Minh Van Tran Dương Dí Dỏm  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 14:11:34,1444898224349187_1439414257954605,,,60 đáp án B Chow Koya Chan Myae Nguyễn Minh Phúc  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 04:43:06,1444898224349187_1341241717945765,,,Đáp án B - 09 Thị Hường Minh Van Tran  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-09 14:12:51,1444898224349187_1312256660979542,,,Đáp án đúng: B - 013 Thùy Lâm Phương Linh  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-13 04:07:02,1444898224349187_1178087061119944,,,Đáp án B - 83 Anh Vu Quoc My Dang Kim Chi #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,218,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 15:13:55,1444898224349187_1047562421119557,,,Đáp án đúng: B - 36 Văn Hưngg Nguyễn Thụy Lệ Giang  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 07:53:05,1444898224349187_1042105841479661,,,Đáp án: B dinh dưỡng Số may mắn 03 Hi Va Nguyễn Nguyễn hihi #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,1033,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 22:54:26,1444898224349187_1037094745655323,,,Đáp án đúng: B - 89 #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 06:56:43,1444898224349187_1016930550723674,,,Đáp án B - 13 Jenny Hương Dương Dí Dỏm  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-08 10:31:23,1444898224349187_1013469747808998,,,"Đáp án B , số may mắn 06",active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 07:54:12,1444898224349187_1008223481893278,,,Đáp án B - 91 Jenny Hương Thị Hường  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 22:59:27,1444898224349187_886272317830514,,,20 đáp án B  Nguyễn Thế Tài Vũ Thủy  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 04:12:27,1444898224349187_771163682675318,,,Đáp án B - 29 Nhi Truong Nguyễn Thị Phú  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 03:15:09,1444898224349187_2453758005050709,,,Đáp án B - 52 Trang Milk Quyen Evelyn Diệu Hiền Đt  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 03:10:51,1444898224349187_1158376546473873,,,Đáp án B - 12 Dương Dí Dỏm Hạnh Duyên Phan  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 02:58:52,1444898224349187_1892264344775377,,,Đáp án B - 61 Nhi Truong Bình An Nhẹ Nhàng  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,active,0,0,https://www.facebook.com/408308732570405/posts/1444898224349187
