id,message,created_time,like_count,comment_count
1444898224349187_2453758005050709,Đáp án B - 52 Trang Milk Quyen Evelyn Diệu Hiền Đt  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:15:09+0000,0,0
1444898224349187_1158376546473873,Đáp án B - 12 Dương Dí Dỏm Hạnh Duyên Phan  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:10:51+0000,0,0
1444898224349187_1892264344775377,Đáp án B - 61 Nhi Truong Bình An Nhẹ Nhàng  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:58:52+0000,0,0
1444898224349187_1334843712044752,Đáp án B - 96 Phan Thị Xuân Trang Dũng Dzui Dzẻ  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T02:39:53+0000,0,0
1444898224349187_1392376396057162,Đáp án B Số 88 Hoàng Thưởng Hoang Thi Ha Phuong,2026-06-06T15:58:53+0000,1,0
1444898224349187_2212481916166453,16 đáp án B  Hoàng NgọcÝ Minh Châu   #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-06T13:30:53+0000,1,3
1444898224349187_27100177636312018,Đáp án B  Số may mắn 99 Vân Hiền Yến Ngân  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-13T14:32:14+0000,0,202
1444898224349187_2870170483336721,Đáp án B - 39 Minh Anh Khánh Hà Vũ Đức An #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-13T04:17:20+0000,0,1
1444898224349187_1770143707286734,48 đáp án B Ley La Luan Pham Cùi Bấp  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-07T13:48:11+0000,0,0
1444898224349187_1636598904300600,Đáp án B - 99 Bien Nguyen Thủy Mai Do Hường #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-13T04:00:52+0000,0,4966
1444898224349187_1577565373936174,Đáp án B - 29 Anh Lan Tuấn Minh Huệ Trần #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-13T04:04:07+0000,0,1310
1444898224349187_1531279095395672,Đáp án B Số may mắn 12 Phương Oải Cẩm Linh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động uppp,2026-06-14T08:31:55+0000,0,202
1444898224349187_1520070306333868,Đáp án B Số may mắn 24 Kiều Linh Giao Hạ ... #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-14T08:46:01+0000,0,102
1444898224349187_1517365306452337,37 đáp án B Thai Hung Chử Vân Khánh Anh Tuan  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-07T13:35:37+0000,0,0
1444898224349187_1505763684619937,Đáp án B SMM : 44  Hong AnhTrà Nguyễn HươngNgân NT #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T05:44:10+0000,0,0
1444898224349187_1474537170610315,Đáp án B - 39 Thị Hường Ba Bé Gấu  #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T11:20:35+0000,0,0
1444898224349187_1357021752995335,Đáp án B - 41 Bao An Văn Minh Văn Minh Hiêp Nguyên Hưu #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-13T04:18:36+0000,0,0
1444898224349187_1331707685756910,55 đáp án B Lê Nghia Chử Vân Khánh Carlos Espinoza  #Prudential #Khởi_Đầu_Nhỏ #Khỏe_Chủ_Động,2026-06-07T13:59:17+0000,0,0
1444898224349187_1278646670954177,Đáp án đúng: B - số may mắn: 12 Vu Hieu Tì Nhok #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-11T07:36:19+0000,0,2259
1444898224349187_1103514305877644,Đáp án đúng: B - 31 Thuy Nguyet Dang Nam Bui #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-12T09:48:13+0000,0,1559
1444898224349187_1006109988575198,Đáp án B - 54 Max Anh Hùng Hieu Nguyen Khang Khang #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-13T04:16:12+0000,0,0
1444898224349187_976610482083223,47 Đáp án B Dinh dưỡng.  Hà Trung Kiên Nhi Nhi #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T04:55:51+0000,0,0
1444898224349187_1307880004272217,Đáp án : B Số may mắn : 44 Mạnh Nguyễn Ngọc Minh Hai Yenemm #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:31:30+0000,0,6323
1444898224349187_1003929705676056,Đáp án B SMM : 42 Huyền Trang Anh Viet Tuan Anh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:30:20+0000,0,6339
1444898224349187_888269780967829,Đáp án B SMM : 81 Anh Khoa Kiều Kiều Ngoc Yenn #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:28:41+0000,0,6365
1444898224349187_980015638258577,Đáp án B - 98 Anh Sang Bùi Thảo My Mai Anh #Prudential #Khởi_Đầu_Nhỏ #Khoẻ_Chủ_Động,2026-06-07T03:27:25+0000,0,6358
